2021-05-09 23:21:24,222 - Eye - INFO - Train Dataset uploaded!
2021-05-09 23:21:24,222 - Eye - INFO - device:cuda
2021-05-09 23:22:43,200 - Eye - INFO - ['Epoch:00, Iter: 20, Lr:0.00010000', 'Loss:1.7957', 'train_acc:18.75']
2021-05-09 23:23:01,450 - Eye - INFO - ['Epoch:00, Iter: 40, Lr:0.00010000', 'Loss:1.7716', 'train_acc:18.91']
2021-05-09 23:23:19,973 - Eye - INFO - ['Epoch:00, Iter: 60, Lr:0.00010000', 'Loss:1.8357', 'train_acc:19.79']
2021-05-09 23:23:38,322 - Eye - INFO - ['Epoch:00, Iter: 80, Lr:0.00010000', 'Loss:1.7494', 'train_acc:20.27']
2021-05-09 23:23:56,676 - Eye - INFO - ['Epoch:00, Iter:100, Lr:0.00010000', 'Loss:1.7718', 'train_acc:20.91']
2021-05-09 23:24:15,063 - Eye - INFO - ['Epoch:00, Iter:120, Lr:0.00010000', 'Loss:1.7391', 'train_acc:21.48']
2021-05-09 23:24:33,545 - Eye - INFO - ['Epoch:00, Iter:140, Lr:0.00010000', 'Loss:1.7761', 'train_acc:22.21']
2021-05-09 23:24:51,979 - Eye - INFO - ['Epoch:00, Iter:160, Lr:0.00010000', 'Loss:1.6875', 'train_acc:23.11']
2021-05-09 23:25:10,517 - Eye - INFO - ['Epoch:00, Iter:180, Lr:0.00010000', 'Loss:1.6473', 'train_acc:23.75']
2021-05-09 23:25:28,938 - Eye - INFO - ['Epoch:00, Iter:200, Lr:0.00010000', 'Loss:1.7543', 'train_acc:24.33']
2021-05-09 23:25:47,357 - Eye - INFO - ['Epoch:00, Iter:220, Lr:0.00010000', 'Loss:1.5929', 'train_acc:24.99']
2021-05-09 23:26:05,843 - Eye - INFO - ['Epoch:00, Iter:240, Lr:0.00010000', 'Loss:1.7660', 'train_acc:25.59']
2021-05-09 23:26:24,247 - Eye - INFO - ['Epoch:00, Iter:260, Lr:0.00010000', 'Loss:1.7009', 'train_acc:25.96']
2021-05-09 23:26:42,721 - Eye - INFO - ['Epoch:00, Iter:280, Lr:0.00010000', 'Loss:1.7277', 'train_acc:26.48']
2021-05-09 23:27:01,225 - Eye - INFO - ['Epoch:00, Iter:300, Lr:0.00010000', 'Loss:1.5696', 'train_acc:27.15']
2021-05-09 23:27:19,639 - Eye - INFO - ['Epoch:00, Iter:320, Lr:0.00010000', 'Loss:1.2728', 'train_acc:27.81']
2021-05-09 23:27:38,075 - Eye - INFO - ['Epoch:00, Iter:340, Lr:0.00010000', 'Loss:1.5728', 'train_acc:28.33']
2021-05-09 23:27:55,801 - Eye - INFO - ['Epoch:00, Iter:360, Lr:0.00010000', 'Loss:1.2959', 'train_acc:29.00']
2021-05-09 23:28:13,806 - Eye - INFO - ['Epoch:00, Iter:380, Lr:0.00010000', 'Loss:1.2445', 'train_acc:29.75']
2021-05-09 23:28:31,675 - Eye - INFO - ['Epoch:00, Iter:400, Lr:0.00010000', 'Loss:1.3377', 'train_acc:30.48']
2021-05-09 23:28:49,929 - Eye - INFO - ['Epoch:00, Iter:420, Lr:0.00010000', 'Loss:1.3673', 'train_acc:31.15']
2021-05-09 23:29:08,345 - Eye - INFO - ['Epoch:00, Iter:440, Lr:0.00010000', 'Loss:1.1633', 'train_acc:31.88']
